Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.0,100,29.000,0.027,21.897,5.063813636363635
1.5,pixel,0.0,400,29.000,31.899,50.254,4.860566216216219
1.5,pixel,0.0,700,29.000,60.255,78.438,4.799808333333335
1.5,pixel,0.0,1000,29.000,88.439,106.672,4.74881095890411
1.5,pixel,0.0,1300,29.000,116.674,134.903,4.793187671232878
1.5,pixel,0.0,1600,29.000,144.904,163.142,4.895480555555557
1.5,pixel,0.0,1900,29.000,173.144,191.367,4.7931904109589025
1.5,pixel,0.0,2100,29.000,201.369,219.700,4.939139726027397
1.5,pixel,0.0,2400,29.000,229.701,248.092,4.982705405405406
1.5,pixel,0.0,2700,29.000,258.093,276.673,5.002529729729732
1.5,pixel,0.0,3000,29.000,286.674,305.079,5.02732876712329
1.5,pixel,0.01,100,29.000,311.130,329.312,4.48622602739726
1.5,pixel,0.01,400,29.000,339.313,357.616,4.5753315068493166
1.5,pixel,0.01,700,29.000,367.617,385.916,4.502201369863014
1.5,pixel,0.01,1000,29.000,395.917,414.280,4.498047945205482
1.5,pixel,0.01,1300,29.000,424.281,442.720,4.547933783783785
1.5,pixel,0.01,1600,29.000,452.722,471.100,4.41162876712329
1.5,pixel,0.01,1900,29.000,481.101,499.560,4.458864864864864
1.5,pixel,0.01,2100,29.000,509.561,528.012,4.577044594594595
1.5,pixel,0.01,2400,29.000,538.013,556.449,4.46746712328767
1.5,pixel,0.01,2700,29.000,566.450,584.933,4.482856756756757
1.5,pixel,0.01,3000,29.000,594.934,613.453,4.50958783783784
1.5,pixel,0.02,100,29.000,623.455,641.812,4.500032876712329
1.5,pixel,0.02,400,29.000,651.814,670.260,4.562256756756756
1.5,pixel,0.02,700,29.000,680.261,698.648,4.499505479452056
1.5,pixel,0.02,1000,29.000,708.650,727.104,4.49913108108108
1.5,pixel,0.02,1300,29.000,737.105,755.520,4.622761643835617
1.5,pixel,0.02,1600,29.000,765.521,783.944,4.49225945945946
1.5,pixel,0.02,1900,29.000,793.945,812.368,4.557120547945206
1.5,pixel,0.02,2100,29.000,822.369,840.893,4.585836486486486
1.5,pixel,0.02,2400,29.000,850.894,869.381,4.482893243243243
1.5,pixel,0.02,2700,29.000,879.382,897.864,4.531885135135137
1.5,pixel,0.02,3000,29.000,907.866,926.341,4.600843835616437
1.5,pixel,0.03,100,29.000,936.343,954.829,4.640741891891892
1.5,pixel,0.03,400,29.000,964.830,983.296,4.72356081081081
1.5,pixel,0.03,700,29.000,993.297,1011.784,4.634755405405406
1.5,pixel,0.03,1000,29.000,1021.786,1039.984,4.676527777777778
1.5,pixel,0.03,1300,29.000,1049.986,1068.408,4.743101351351354
1.5,pixel,0.03,1600,29.000,1078.409,1096.913,4.648298630136987
1.5,pixel,0.03,1900,29.000,1106.914,1125.476,4.723926666666664
1.5,pixel,0.03,2100,29.000,1135.478,1153.657,4.743798611111113
1.5,pixel,0.03,2400,29.000,1163.658,1182.177,4.648347297297298
1.5,pixel,0.03,2700,29.000,1192.178,1210.664,4.692685135135136
1.5,pixel,0.03,3000,29.000,1220.666,1239.189,4.782102702702703
1.5,pixel,0.04,100,29.000,1249.191,1267.357,4.664594444444445
1.5,pixel,0.04,400,29.000,1277.358,1295.606,4.758735616438357
1.5,pixel,0.04,700,29.000,1305.607,1323.799,4.805979452054794
1.5,pixel,0.04,1000,29.000,1333.800,1351.960,4.641632876712329
1.5,pixel,0.04,1300,29.000,1361.961,1380.178,4.744172602739726
1.5,pixel,0.04,1600,29.000,1390.179,1408.441,4.799836111111112
1.5,pixel,0.04,1900,29.000,1418.442,1436.718,4.715123287671235
1.5,pixel,0.04,2100,29.000,1446.719,1464.961,4.743316438356165
1.5,pixel,0.04,2400,29.000,1474.962,1493.157,4.667453424657536
1.5,pixel,0.04,2700,29.000,1503.158,1521.408,4.784987499999999
