Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,area,0.0000,100,0.8638
1.5,area,0.0000,400,0.9129
1.5,area,0.0000,700,0.9228
1.5,area,0.0000,1000,0.9190
1.5,area,0.0000,1300,0.9343
1.5,area,0.0000,1600,0.9320
1.5,area,0.0000,1900,0.9402
1.5,area,0.0000,2100,0.9318
1.5,area,0.0000,2400,0.9352
1.5,area,0.0000,2700,0.9333
1.5,area,0.0000,3000,0.9395
1.5,area,0.0100,100,0.4222
1.5,area,0.0100,400,0.7670
1.5,area,0.0100,700,0.8530
1.5,area,0.0100,1000,0.8117
1.5,area,0.0100,1300,0.8098
1.5,area,0.0100,1600,0.8494
1.5,area,0.0100,1900,0.8468
1.5,area,0.0100,2100,0.8431
1.5,area,0.0100,2400,0.8537
1.5,area,0.0100,2700,0.8435
1.5,area,0.0100,3000,0.8547
1.5,area,0.0200,100,0.3802
1.5,area,0.0200,400,0.5660
1.5,area,0.0200,700,0.7383
1.5,area,0.0200,1000,0.7440
1.5,area,0.0200,1300,0.7458
1.5,area,0.0200,1600,0.7481
1.5,area,0.0200,1900,0.7447
1.5,area,0.0200,2100,0.7490
1.5,area,0.0200,2400,0.7448
1.5,area,0.0200,2700,0.7441
1.5,area,0.0200,3000,0.7438
1.5,area,0.0300,100,0.1933
1.5,area,0.0300,400,0.7144
1.5,area,0.0300,700,0.7411
1.5,area,0.0300,1000,0.7750
1.5,area,0.0300,1300,0.7777
1.5,area,0.0300,1600,0.7373
1.5,area,0.0300,1900,0.7765
1.5,area,0.0300,2100,0.7767
1.5,area,0.0300,2400,0.7778
1.5,area,0.0300,2700,0.7795
1.5,area,0.0300,3000,0.7799
1.5,area,0.0400,100,0.0000
1.5,area,0.0400,400,0.6898
1.5,area,0.0400,700,0.7329
1.5,area,0.0400,1000,0.7300
1.5,area,0.0400,1300,0.7315
1.5,area,0.0400,1600,0.7309
1.5,area,0.0400,1900,0.7282
1.5,area,0.0400,2100,0.7240
1.5,area,0.0400,2400,0.7283
1.5,area,0.0400,2700,0.7327
1.5,area,0.0400,3000,0.7290
1.5,area,0.0500,100,0.0000
1.5,area,0.0500,400,0.6874
1.5,area,0.0500,700,0.7316
1.5,area,0.0500,1000,0.7269
1.5,area,0.0500,1300,0.7268
1.5,area,0.0500,1600,0.7254
1.5,area,0.0500,1900,0.7317
1.5,area,0.0500,2100,0.7248
1.5,area,0.0500,2400,0.7261
1.5,area,0.0500,2700,0.7339
1.5,area,0.0500,3000,0.7312
1.5,area,0.0600,100,0.0000
1.5,area,0.0600,400,0.6807
1.5,area,0.0600,700,0.7285
1.5,area,0.0600,1000,0.7244
1.5,area,0.0600,1300,0.7294
1.5,area,0.0600,1600,0.7237
1.5,area,0.0600,1900,0.7251
1.5,area,0.0600,2100,0.7298
1.5,area,0.0600,2400,0.7322
1.5,area,0.0600,2700,0.7309
1.5,area,0.0600,3000,0.7283
1.5,area,0.0700,100,0.0000
1.5,area,0.0700,400,0.6877
1.5,area,0.0700,700,0.7321
1.5,area,0.0700,1000,0.7306
1.5,area,0.0700,1300,0.7277
1.5,area,0.0700,1600,0.7249
1.5,area,0.0700,1900,0.7262
