Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,area,0.01,100,0.5292
1.5,area,0.01,400,0.6193
1.5,area,0.01,700,0.6461
1.5,area,0.01,1000,0.6491
1.5,area,0.01,1300,0.6467
1.5,area,0.01,1600,0.6551
1.5,area,0.01,1900,0.6543
1.5,area,0.01,2100,0.6395
1.5,area,0.01,2400,0.6523
1.5,area,0.01,2700,0.6482
1.5,area,0.01,3000,0.6592
1.5,area,0.02,100,0.5079
1.5,area,0.02,400,0.6162
1.5,area,0.02,700,0.6211
1.5,area,0.02,1000,0.6460
1.5,area,0.02,1300,0.6365
1.5,area,0.02,1600,0.6233
1.5,area,0.02,1900,0.6301
1.5,area,0.02,2100,0.6345
1.5,area,0.02,2400,0.6402
1.5,area,0.02,2700,0.6503
1.5,area,0.02,3000,0.6315
1.5,area,0.03,100,0.4497
1.5,area,0.03,400,0.5774
1.5,area,0.03,700,0.6021
1.5,area,0.03,1000,0.5996
1.5,area,0.03,1300,0.6225
1.5,area,0.03,1600,0.5939
1.5,area,0.03,1900,0.5998
1.5,area,0.03,2100,0.6047
1.5,area,0.03,2400,0.6044
1.5,area,0.03,2700,0.6105
1.5,area,0.03,3000,0.6128
1.5,area,0.04,100,0.4654
1.5,area,0.04,400,0.5648
1.5,area,0.04,700,0.5881
1.5,area,0.04,1000,0.5754
1.5,area,0.04,1300,0.5887
1.5,area,0.04,1600,0.5848
1.5,area,0.04,1900,0.5709
1.5,area,0.04,2100,0.5767
1.5,area,0.04,2400,0.5853
1.5,area,0.04,2700,0.5822
1.5,area,0.04,3000,0.5760
1.5,area,0.05,100,0.4523
1.5,area,0.05,400,0.5965
1.5,area,0.05,700,0.5877
1.5,area,0.05,1000,0.5929
1.5,area,0.05,1300,0.6074
1.5,area,0.05,1600,0.5893
1.5,area,0.05,1900,0.5830
1.5,area,0.05,2100,0.5912
1.5,area,0.05,2400,0.5894
1.5,area,0.05,2700,0.5857
1.5,area,0.05,3000,0.5804
1.5,area,0.06,100,0.4007
1.5,area,0.06,400,0.5323
1.5,area,0.06,700,0.5434
1.5,area,0.06,1000,0.5398
1.5,area,0.06,1300,0.5422
1.5,area,0.06,1600,0.5468
1.5,area,0.06,1900,0.5467
1.5,area,0.06,2100,0.5302
1.5,area,0.06,2400,0.5508
1.5,area,0.06,2700,0.5445
1.5,area,0.06,3000,0.5585
1.5,area,0.07,100,0.3566
1.5,area,0.07,400,0.4931
1.5,area,0.07,700,0.5051
1.5,area,0.07,1000,0.5228
1.5,area,0.07,1300,0.5252
1.5,area,0.07,1600,0.5293
1.5,area,0.07,1900,0.5255
1.5,area,0.07,2100,0.5252
1.5,area,0.07,2400,0.5244
1.5,area,0.07,2700,0.5373
1.5,area,0.07,3000,0.5244
1.5,area,0.08,100,0.2756
1.5,area,0.08,400,0.4629
1.5,area,0.08,700,0.4619
1.5,area,0.08,1000,0.4739
1.5,area,0.08,1300,0.4710
1.5,area,0.08,1600,0.4687
1.5,area,0.08,1900,0.4813
1.5,area,0.08,2100,0.4772
1.5,area,0.08,2400,0.4786
1.5,area,0.08,2700,0.4680
1.5,area,0.08,3000,0.4708
1.5,area,0.09,100,0.3379
1.5,area,0.09,400,0.4920
1.5,area,0.09,700,0.5014
1.5,area,0.09,1000,0.4995
1.5,area,0.09,1300,0.4999
1.5,area,0.09,1600,0.4995
1.5,area,0.09,1900,0.5135
1.5,area,0.09,2100,0.5203
1.5,area,0.09,2400,0.5070
1.5,area,0.09,2700,0.5217
1.5,area,0.09,3000,0.5143
1.5,edge,0.0000,100,0.7536
1.5,edge,0.0000,400,0.8239
1.5,edge,0.0000,700,0.8204
1.5,edge,0.0000,1000,0.8211
1.5,edge,0.0000,1300,0.8163
1.5,edge,0.0000,1600,0.8109
1.5,edge,0.0000,1900,0.8108
1.5,edge,0.0000,2100,0.8114
1.5,edge,0.0000,2400,0.8147
1.5,edge,0.0000,2700,0.8162
1.5,edge,0.0000,3000,0.8099
1.5,edge,0.0004,100,0.7811
1.5,edge,0.0004,400,0.8261
1.5,edge,0.0004,700,0.8229
1.5,edge,0.0004,1000,0.8219
1.5,edge,0.0004,1300,0.8182
1.5,edge,0.0004,1600,0.8137
1.5,edge,0.0004,1900,0.8200
1.5,edge,0.0004,2100,0.8125
1.5,edge,0.0004,2400,0.8190
1.5,edge,0.0004,2700,0.8108
1.5,edge,0.0004,3000,0.8132
1.5,edge,0.0008,100,0.7423
1.5,edge,0.0008,400,0.8267
1.5,edge,0.0008,700,0.8139
1.5,edge,0.0008,1000,0.8219
1.5,edge,0.0008,1300,0.8186
1.5,edge,0.0008,1600,0.8130
1.5,edge,0.0008,1900,0.8159
1.5,edge,0.0008,2100,0.8158
1.5,edge,0.0008,2400,0.8132
1.5,edge,0.0008,2700,0.8168
1.5,edge,0.0008,3000,0.8113
1.5,edge,0.0012,100,0.7332
1.5,edge,0.0012,400,0.7862
1.5,edge,0.0012,700,0.7957
1.5,edge,0.0012,1000,0.7947
1.5,edge,0.0012,1300,0.7930
1.5,edge,0.0012,1600,0.7925
1.5,edge,0.0012,1900,0.7911
1.5,edge,0.0012,2100,0.7915
1.5,edge,0.0012,2400,0.7878
1.5,edge,0.0012,2700,0.7847
1.5,edge,0.0012,3000,0.7871
1.5,edge,0.0016,100,0.7039
1.5,edge,0.0016,400,0.7540
1.5,edge,0.0016,700,0.7560
1.5,edge,0.0016,1000,0.7649
1.5,edge,0.0016,1300,0.7663
1.5,edge,0.0016,1600,0.7527
