Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.000000,100,22.831,0.052,79.597,5.0378911949685525
1.5,pixel,0.000000,400,22.343,89.614,170.897,5.082429320987656
1.5,pixel,0.000000,700,21.885,180.900,263.893,5.073754078549852
1.5,pixel,0.000000,1000,21.854,273.895,356.982,5.090301510574016
1.5,pixel,0.000000,1300,21.853,366.985,450.098,5.073980722891567
1.5,pixel,0.000000,1600,21.842,460.100,543.262,5.0849093373493925
1.5,pixel,0.000000,1900,21.863,553.265,636.349,5.08438187311178
1.5,pixel,0.000000,2100,21.811,646.351,729.629,5.112651807228913
1.5,pixel,0.000000,2400,21.753,739.632,823.130,5.109846846846842
1.5,pixel,0.000000,2700,21.804,833.133,916.438,5.095401204819281
1.5,pixel,0.000000,3000,21.961,926.441,1009.134,5.11496424242424
1.5,pixel,0.010000,100,21.901,1019.179,1102.101,4.969192749244716
1.5,pixel,0.010000,400,21.682,1112.103,1195.859,4.997456586826354
1.5,pixel,0.010000,700,21.989,1205.862,1288.456,5.04460729483283
1.5,pixel,0.010000,1000,21.827,1298.459,1381.673,5.024718072289153
1.5,pixel,0.010000,1300,21.973,1391.676,1474.332,5.04522393939394
1.5,pixel,0.010000,1600,21.538,1484.334,1568.652,5.065157738095239
1.5,pixel,0.010000,1900,21.541,1578.655,1662.973,5.07683898809524
1.5,pixel,0.010000,2100,21.404,1672.976,1757.831,4.8802112426035515
1.5,pixel,0.010000,2400,21.548,1767.834,1852.136,4.821894642857137
1.5,pixel,0.010000,2700,21.377,1862.140,1947.090,4.906478171091448
1.5,pixel,0.010000,3000,21.852,1957.093,2040.201,4.840198489425987
1.5,pixel,0.020000,100,22.088,2050.205,2132.448,4.73691554878049
1.5,pixel,0.020000,400,21.723,2142.450,2226.045,4.742099401197603
1.5,pixel,0.020000,700,21.545,2236.048,2320.335,4.760727976190476
1.5,pixel,0.020000,1000,21.874,2330.338,2413.359,4.760121148036254
1.5,pixel,0.020000,1300,21.707,2423.361,2507.023,4.796476347305393
1.5,pixel,0.020000,1600,21.635,2517.026,2600.979,4.796128742514968
1.5,pixel,0.020000,1900,21.734,2610.982,2694.541,4.810867664670657
1.5,pixel,0.020000,2100,21.574,2704.544,2788.722,4.79304208955224
1.5,pixel,0.020000,2400,21.442,2798.725,2883.431,4.791285502958579
1.5,pixel,0.020000,2700,21.446,2893.433,2978.102,4.769823372781066
1.5,pixel,0.020000,3000,21.447,2988.105,3072.785,4.774741246290805
1.5,pixel,0.030000,100,21.697,3082.789,3166.483,4.699670059880238
1.5,pixel,0.030000,400,21.651,3176.486,3260.416,4.710881791044778
1.5,pixel,0.030000,700,21.460,3270.420,3355.060,4.7325020771513335
1.5,pixel,0.030000,1000,21.536,3365.064,3449.378,4.718073293768542
1.5,pixel,0.030000,1300,21.423,3459.381,3544.142,4.775711538461538
1.5,pixel,0.030000,1600,21.568,3554.145,3638.343,4.749366369047621
1.5,pixel,0.030000,1900,21.337,3648.346,3733.451,4.766300589970505
1.5,pixel,0.030000,2100,21.449,3743.454,3828.123,4.751905325443784
1.5,pixel,0.030000,2400,21.390,3838.126,3923.027,4.7869828402366865
1.5,pixel,0.030000,2700,21.396,3933.029,4017.904,4.747707669616515
1.5,pixel,0.030000,3000,21.440,4027.906,4112.612,4.763628402366864
1.5,pixel,0.040000,100,21.484,4122.616,4207.137,4.706910385756676
1.5,pixel,0.040000,400,21.411,4217.139,4301.986,4.707999705014751
1.5,pixel,0.040000,700,21.575,4311.989,4396.183,4.762885714285714
1.5,pixel,0.040000,1000,21.487,4406.186,4490.731,4.740548664688424
1.5,pixel,0.040000,1300,21.310,4500.734,4585.945,4.7478764705882375
1.5,pixel,0.040000,1600,21.467,4595.947,4680.586,4.728978635014838
1.5,pixel,0.040000,1900,21.552,4690.589,4774.888,4.730488095238099
1.5,pixel,0.040000,2100,21.151,4784.890,4870.740,4.746749271137026
1.5,pixel,0.040000,2400,21.235,4880.743,4966.298,4.76249677419355
1.5,pixel,0.040000,2700,21.461,4976.301,5060.955,4.752377218934908
1.5,pixel,0.040000,3000,21.242,5070.957,5156.487,4.75921026392962
1.5,pixel,0.050000,100,21.381,5166.491,5251.458,4.715906194690264
1.5,pixel,0.050000,400,21.290,5261.460,5346.749,4.711972647058825
1.5,pixel,0.050000,700,21.338,5356.751,5441.883,4.744782647058827
1.5,pixel,0.050000,1000,21.114,5451.886,5537.949,4.730279300291543
1.5,pixel,0.050000,1300,21.211,5547.952,5633.560,4.732201461988303
1.5,pixel,0.050000,1600,21.332,5643.563,5728.725,4.74898176470588
1.5,pixel,0.050000,1900,21.147,5738.728,5824.638,4.736705539358605
1.5,pixel,0.050000,2100,21.206,5834.641,5920.272,4.741404105571849
1.5,pixel,0.050000,2400,21.178,5930.275,6016.015,4.746226023391811
1.5,pixel,0.050000,2700,21.324,6026.018,6111.175,4.751822058823529
1.5,pixel,0.050000,3000,21.285,6121.178,6206.489,4.744782647058829
1.5,pixel,0.060000,100,21.348,6216.493,6301.554,4.740136578171095
1.5,pixel,0.060000,400,21.446,6311.557,6396.234,4.730111538461539
1.5,pixel,0.060000,700,21.271,6406.237,6491.614,4.710560882352945
1.5,pixel,0.060000,1000,21.333,6501.617,6586.748,4.72776970588235
1.5,pixel,0.060000,1300,21.263,6596.751,6682.157,4.742958064516129
1.5,pixel,0.060000,1600,21.349,6692.160,6777.215,4.720119764011802
1.5,pixel,0.060000,1900,21.088,6787.217,6873.330,4.74087965116279
1.5,pixel,0.060000,2100,21.086,6883.333,6969.455,4.7290626822157416
1.5,pixel,0.060000,2400,21.241,6979.458,7064.953,4.750983040935675
1.5,pixel,0.060000,2700,21.283,7074.955,7160.285,4.755232058823528
1.5,pixel,0.060000,3000,21.285,7170.288,7255.610,4.754106451612901
1.5,pixel,0.070000,100,21.290,7265.614,7350.902,4.720132058823533
1.5,pixel,0.070000,400,21.207,7360.905,7446.535,4.718622287390031
1.5,pixel,0.070000,700,21.326,7456.537,7541.687,4.71630648967552
1.5,pixel,0.070000,1000,21.411,7551.689,7636.502,4.72511740412979
1.5,pixel,0.070000,1300,21.242,7646.505,7731.989,4.7267862170087955
1.5,pixel,0.070000,1600,21.289,7741.992,7827.292,4.745302941176472
1.5,pixel,0.070000,1900,21.032,7837.295,7923.630,4.724216231884061
1.5,pixel,0.070000,2100,21.365,7933.633,8018.636,4.737848967551625
1.5,pixel,0.070000,2400,21.062,8028.639,8114.850,4.740229941860463
1.5,pixel,0.070000,2700,21.230,8124.852,8210.393,4.739389149560118
1.5,pixel,0.070000,3000,21.095,8220.395,8306.483,4.729475290697677
1.5,pixel,0.080000,100,21.468,8316.487,8401.071,4.723446290801186
1.5,pixel,0.080000,400,21.375,8411.074,8496.027,4.739584070796463
1.5,pixel,0.080000,700,21.361,8506.030,8591.035,4.747778171091446
1.5,pixel,0.080000,1000,21.101,8601.038,8687.092,4.745581924198249
1.5,pixel,0.080000,1300,21.169,8697.095,8782.870,4.725530409356724
1.5,pixel,0.080000,1600,21.197,8792.873,8878.541,4.730043859649124
1.5,pixel,0.080000,1900,21.068,8888.544,8974.742,4.751604069767442
1.5,pixel,0.080000,2100,21.094,8984.745,9070.828,4.741626162790698
1.5,pixel,0.080000,2400,21.315,9080.831,9166.016,4.740305882352939
1.5,pixel,0.080000,2700,21.054,9176.019,9262.268,4.73688260869565
1.5,pixel,0.080000,3000,21.227,9272.271,9357.815,4.74454868035191
1.5,pixel,0.090000,100,21.386,9367.819,9452.724,4.72047935103245
1.5,pixel,0.090000,400,21.265,9462.727,9548.120,4.720224633431084
1.5,pixel,0.090000,700,21.366,9558.123,9643.111,4.723487610619472
1.5,pixel,0.090000,1000,21.255,9653.113,9738.544,4.732560117302053
1.5,pixel,0.090000,1300,21.193,9748.546,9834.224,4.73225730994152
1.5,pixel,0.090000,1600,21.007,9844.227,9930.672,4.742837391304347
