Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.014858970976258),
(1800, 3600, (0.02, 2100), 4.085511949685539),
(3600, 5400, (0.02, 2100), 4.154639537712893),
(5400, 7200, (0.02, 2100), 4.102424256837097),
(7200, 9000, (0.02, 2100), 4.115701304863581),
(9000, 10800, (0.02, 2100), 4.208395127610215),
(10800, 12600, (0.02, 2100), 4.17414960000001),
(12600, 14400, (0.02, 2100), 4.095535062006772),
(14400, 16200, (0.02, 2100), 4.096067149220486),
(16200, 18000, (0.02, 2100), 4.105311050920911),
(18000, 18002, (0.02, 2100), 4.05998),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.043455714285709),
(1800, 3600, (0.02, 2100), 4.065580225281599),
(3600, 5400, (0.02, 2100), 4.102298568019093),
(5400, 7200, (0.02, 2100), 4.093551179245281),
(7200, 9000, (0.02, 2100), 4.094979883040941),
(9000, 10800, (0.02, 2100), 4.116726891734576),
(10800, 12600, (0.02, 2100), 4.09009402173912),
(12600, 14400, (0.02, 2100), 4.127083968609877),
(14400, 16200, (0.02, 2100), 4.065272082878952),
(16200, 18000, (0.02, 2100), 4.045231681034477),
(18000, 18002, (0.02, 2100), 3.719),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.00049090909091),
(1800, 3600, (0.02, 2100), 4.064373533083645),
(3600, 5400, (0.02, 2100), 4.104140047675804),
(5400, 7200, (0.02, 2100), 4.113708422301303),
(7200, 9000, (0.02, 2100), 4.096769596199519),
(9000, 10800, (0.02, 2100), 4.106943402777775),
(10800, 12600, (0.02, 2100), 4.100788864142542),
(12600, 14400, (0.02, 2100), 4.078433860045151),
(14400, 16200, (0.02, 2100), 4.086309518599558),
(16200, 18000, (0.02, 2100), 4.074313484358144),
(18000, 18002, (0.02, 2100), 4.0233),
