Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.019368407310714),
(1800, 1950, (0.02, 2100), 4.040806060606061),
(1950, 3750, (0.01, 1600), 4.206258020050127),
(3750, 3900, (0.01, 1600), 4.123569117647059),
(3900, 5700, (0.04, 3000), 4.0940460493827056),
(5700, 5850, (0.04, 3000), 4.175784285714284),
(5850, 7650, (0.08, 1600), 4.155209696969699),
(7650, 7800, (0.08, 1600), 4.15931506849315),
(7800, 9600, (0.01, 3000), 4.126002972651603),
(9600, 9750, (0.01, 3000), 4.119348611111111),
(9750, 11550, (0.03, 1600), 4.1210489461358355),
(11550, 11700, (0.03, 1600), 4.085998684210526),
(11700, 13500, (0.06, 1900), 4.126096527777782),
(13500, 13650, (0.06, 1900), 4.049554794520547),
(13650, 15450, (0.08, 1900), 4.071201485714282),
(15450, 15600, (0.08, 1900), 4.121753750000001),
(15600, 17400, (0.09, 2400), 4.099413392857139),
(17400, 17550, (0.09, 2400), 4.053680487804878),
(17550, 18002, (0.08, 1900), 4.124645493562233),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.008765714285715),
(1800, 1950, (0.02, 2100), 3.93692537313433),
(1950, 3750, (0.01, 1600), 4.189204283965719),
(3750, 3900, (0.01, 1600), 4.094652857142857),
(3900, 5700, (0.04, 3000), 4.092280548926013),
(5700, 5850, (0.04, 3000), 4.054339436619718),
(5850, 7650, (0.08, 1600), 4.088188290398118),
(7650, 7800, (0.08, 1600), 4.054873239436623),
(7800, 9600, (0.01, 3000), 4.153271277842912),
(9600, 9750, (0.01, 3000), 4.1462369047619045),
(9750, 11550, (0.03, 1600), 4.089680159635127),
(11550, 11700, (0.03, 1600), 4.100821333333334),
(11700, 13500, (0.06, 1900), 4.053936182019981),
(13500, 13650, (0.06, 1900), 4.075321917808219),
(13650, 15450, (0.08, 1900), 4.050126402640265),
(15450, 15600, (0.08, 1900), 4.073207894736842),
(15600, 17400, (0.09, 2400), 4.061982023681379),
(17400, 17550, (0.09, 2400), 4.187046753246755),
(17550, 18002, (0.08, 1900), 4.062643495934957),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 3.994382321899731),
(1800, 1950, (0.02, 2100), 3.9029318181818193),
(1950, 3750, (0.01, 1600), 4.154769597069596),
(3750, 3900, (0.01, 1600), 4.231808823529412),
(3900, 5700, (0.04, 3000), 4.089733372921624),
(5700, 5850, (0.04, 3000), 4.070159999999997),
(5850, 7650, (0.08, 1600), 4.1336706235011915),
(7650, 7800, (0.08, 1600), 4.044761111111111),
(7800, 9600, (0.01, 3000), 4.104877482678981),
(9600, 9750, (0.01, 3000), 4.087919178082191),
(9750, 11550, (0.03, 1600), 4.10624943310657),
(11550, 11700, (0.03, 1600), 4.071539726027399),
(11700, 13500, (0.06, 1900), 4.093847368421052),
(13500, 13650, (0.06, 1900), 4.110926027397261),
(13650, 15450, (0.08, 1900), 4.0635352477477555),
(15450, 15600, (0.08, 1900), 4.023272413793103),
(15600, 17400, (0.09, 2400), 4.071992755214046),
(17400, 17550, (0.09, 2400), 4.008405681818184),
(17550, 18002, (0.08, 1900), 4.0202482758620715),
