Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 400), 4.9193933949801805),
(1800, 1950, (0.0, 400), 4.985678787878787),
(1950, 3750, (0.0, 400), 4.716490266666675),
(3750, 3900, (0.0, 400), 4.703404687500003),
(3900, 5700, (0.0, 3000), 4.739827770360482),
(5700, 5850, (0.0, 3000), 4.6095640625000005),
(5850, 7650, (0.01, 2400), 4.213700682128234),
(7650, 7800, (0.01, 2400), 4.169788709677419),
(7800, 9600, (0.0, 3000), 4.956282957393489),
(9600, 9750, (0.0, 3000), 4.814653125000003),
(9750, 11550, (0.02, 400), 4.2191728142076474),
(11550, 11700, (0.02, 400), 4.1521828124999995),
(11700, 13500, (0.0, 3000), 4.740052000000004),
(13500, 13650, (0.0, 3000), 4.727955555555556),
(13650, 15450, (0.0, 1000), 4.67389103078983),
(15450, 15600, (0.0, 1000), 4.698359375000001),
(15600, 17400, (0.1, 3000), 4.186034153005462),
(17400, 17550, (0.1, 3000), 4.165645161290322),
(17550, 18030, (0.1, 100), 4.185393846153843),
