Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.02, 2100), 4.014858970976258),
(1800, 3600, (0.02, 2100), 4.085511949685539),
(3600, 5400, (0.02, 2100), 4.154639537712893),
(5400, 7200, (0.02, 2100), 4.102424256837097),
(7200, 9000, (0.02, 2100), 4.115701304863581),
(9000, 10800, (0.02, 2100), 4.208395127610215),
(10800, 12600, (0.02, 2100), 4.17414960000001),
(12600, 14400, (0.02, 2100), 4.095535062006772),
(14400, 16200, (0.02, 2100), 4.096067149220486),
(16200, 18000, (0.02, 2100), 4.105311050920911),
(18000, 18002, (0.02, 2100), 4.05998),
