Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
2.1,pixel,0.000000,100,29.000,0.023,18.270,5.318869863013698
2.1,pixel,0.000000,400,29.000,28.271,46.366,5.247036111111111
2.1,pixel,0.000000,700,29.000,56.367,74.650,5.252445205479452
2.1,pixel,0.000000,1000,29.000,84.651,102.842,5.189615068493152
2.1,pixel,0.000000,1300,29.000,112.843,131.070,5.236656164383564
2.1,pixel,0.000000,1600,29.000,141.070,159.165,5.113206944444445
2.1,pixel,0.000000,1900,29.000,169.166,187.397,5.1274657534246595
2.1,pixel,0.000000,2100,29.000,197.398,215.709,5.155702739726029
2.1,pixel,0.000000,2400,29.000,225.710,243.777,5.177300000000002
2.1,pixel,0.000000,2700,29.000,253.778,271.909,5.134742465753425
2.1,pixel,0.000000,3000,29.000,281.910,300.173,5.034984931506851
2.1,pixel,0.010000,100,29.000,310.175,328.402,5.547248611111112
2.1,pixel,0.010000,400,29.000,338.403,356.750,5.563624324324324
2.1,pixel,0.010000,700,29.000,366.756,385.026,5.63500684931507
2.1,pixel,0.010000,1000,29.000,395.027,413.270,5.60858888888889
2.1,pixel,0.010000,1300,29.000,423.271,441.518,5.530382191780822
2.1,pixel,0.010000,1600,29.000,451.518,469.834,5.610682191780821
2.1,pixel,0.010000,1900,29.000,479.834,498.202,5.556702702702705
2.1,pixel,0.010000,2100,29.000,508.249,526.558,5.540583561643836
2.1,pixel,0.010000,2400,29.000,536.559,554.954,5.524873972602741
2.1,pixel,0.010000,2700,29.000,564.955,583.350,5.542822972972973
2.1,pixel,0.010000,3000,29.000,593.351,611.746,5.568053424657537
2.1,pixel,0.020000,100,29.000,621.748,640.130,5.635520270270271
2.1,pixel,0.020000,400,29.000,650.131,668.522,5.69895890410959
2.1,pixel,0.020000,700,29.000,678.523,696.906,5.58540135135135
2.1,pixel,0.020000,1000,29.000,706.908,725.342,5.637420270270271
2.1,pixel,0.020000,1300,29.000,735.343,753.790,5.656041891891894
2.1,pixel,0.020000,1600,29.000,763.791,782.214,5.656639726027396
2.1,pixel,0.020000,1900,29.000,792.214,810.646,5.632090540540541
2.1,pixel,0.020000,2100,29.000,820.647,839.062,5.675220547945207
2.1,pixel,0.020000,2400,29.000,849.063,867.490,5.628891891891893
2.1,pixel,0.020000,2700,29.000,877.491,895.914,5.663460273972603
2.1,pixel,0.020000,3000,29.000,905.916,924.370,5.633043243243244
2.1,pixel,0.030000,100,29.000,934.372,952.822,5.801850000000001
2.1,pixel,0.030000,400,29.000,962.823,981.322,5.92383698630137
2.1,pixel,0.030000,700,29.000,991.323,1009.830,5.932860810810811
2.1,pixel,0.030000,1000,29.000,1019.831,1038.342,5.908699999999999
2.1,pixel,0.030000,1300,29.000,1048.343,1066.826,5.90866756756757
2.1,pixel,0.030000,1600,29.000,1076.827,1095.290,5.856455405405406
2.1,pixel,0.030000,1900,29.000,1105.291,1123.798,5.923153424657531
2.1,pixel,0.030000,2100,29.000,1133.800,1152.290,5.905493243243243
2.1,pixel,0.030000,2400,29.000,1162.291,1180.754,5.95510135135135
2.1,pixel,0.030000,2700,29.000,1190.755,1209.310,5.968570270270268
2.1,pixel,0.030000,3000,29.000,1219.311,1237.830,5.886756756756757
2.1,pixel,0.040000,100,29.000,1247.832,1266.001,5.971025000000002
2.1,pixel,0.040000,400,29.000,1276.002,1294.190,5.963712328767122
2.1,pixel,0.040000,700,29.000,1304.191,1322.368,5.9895444444444434
2.1,pixel,0.040000,1000,29.000,1332.369,1350.551,6.000438356164385
2.1,pixel,0.040000,1300,29.000,1360.552,1378.710,5.960295833333333
2.1,pixel,0.040000,1600,29.000,1388.712,1406.922,6.002472602739726
2.1,pixel,0.040000,1900,29.000,1416.923,1435.118,6.067741095890409
2.1,pixel,0.040000,2100,29.000,1445.119,1463.317,6.007475000000001
2.1,pixel,0.040000,2400,29.000,1473.318,1491.587,6.003528767123288
2.1,pixel,0.040000,2700,29.000,1501.587,1519.789,5.992704109589041
2.1,pixel,0.040000,3000,29.000,1529.790,1548.015,6.003824657534249
2.1,pixel,0.050000,100,29.000,1558.017,1576.238,6.058698611111111
2.1,pixel,0.050000,400,29.000,1586.239,1604.470,6.004243835616438
2.1,pixel,0.050000,700,29.000,1614.472,1632.706,6.006938356164384
2.1,pixel,0.050000,1000,29.000,1642.707,1660.982,6.041605479452056
