Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,area,0.0000,100,0.8963
1.5,area,0.0000,400,0.9376
1.5,area,0.0000,700,0.9412
1.5,area,0.0000,1000,0.9455
1.5,area,0.0000,1300,0.9457
1.5,area,0.0000,1600,0.9465
1.5,area,0.0000,1900,0.9476
1.5,area,0.0000,2100,0.9471
1.5,area,0.0000,2400,0.9462
1.5,area,0.0000,2700,0.9457
1.5,area,0.0000,3000,0.9470
1.5,area,0.0100,100,0.8237
1.5,area,0.0100,400,0.8616
1.5,area,0.0100,700,0.8708
1.5,area,0.0100,1000,0.8740
1.5,area,0.0100,1300,0.8740
1.5,area,0.0100,1600,0.8738
1.5,area,0.0100,1900,0.8736
1.5,area,0.0100,2100,0.8743
1.5,area,0.0100,2400,0.8773
1.5,area,0.0100,2700,0.8763
1.5,area,0.0100,3000,0.8754
1.5,area,0.0200,100,0.7680
1.5,area,0.0200,400,0.8105
1.5,area,0.0200,700,0.8262
1.5,area,0.0200,1000,0.8278
1.5,area,0.0200,1300,0.8337
1.5,area,0.0200,1600,0.8316
1.5,area,0.0200,1900,0.8344
1.5,area,0.0200,2100,0.8294
1.5,area,0.0200,2400,0.8315
1.5,area,0.0200,2700,0.8354
1.5,area,0.0200,3000,0.8289
1.5,area,0.0300,100,0.7038
1.5,area,0.0300,400,0.7601
1.5,area,0.0300,700,0.7686
1.5,area,0.0300,1000,0.7729
1.5,area,0.0300,1300,0.7749
1.5,area,0.0300,1600,0.7753
1.5,area,0.0300,1900,0.7752
1.5,area,0.0300,2100,0.7753
1.5,area,0.0300,2400,0.7757
1.5,area,0.0300,2700,0.7809
1.5,area,0.0300,3000,0.7779
1.5,area,0.0400,100,0.5889
1.5,area,0.0400,400,0.6645
1.5,area,0.0400,700,0.6834
1.5,area,0.0400,1000,0.6811
1.5,area,0.0400,1300,0.6854
1.5,area,0.0400,1600,0.6876
1.5,area,0.0400,1900,0.6936
1.5,area,0.0400,2100,0.6917
1.5,area,0.0400,2400,0.6922
1.5,area,0.0400,2700,0.6916
1.5,area,0.0400,3000,0.6874
1.5,area,0.0500,100,0.4949
1.5,area,0.0500,400,0.5828
1.5,area,0.0500,700,0.6014
1.5,area,0.0500,1000,0.6078
1.5,area,0.0500,1300,0.6057
1.5,area,0.0500,1600,0.6149
1.5,area,0.0500,1900,0.6116
1.5,area,0.0500,2100,0.6088
1.5,area,0.0500,2400,0.6224
1.5,area,0.0500,2700,0.6130
1.5,area,0.0500,3000,0.6165
1.5,area,0.0600,100,0.4107
1.5,area,0.0600,400,0.5483
1.5,area,0.0600,700,0.5809
1.5,area,0.0600,1000,0.5823
1.5,area,0.0600,1300,0.5831
1.5,area,0.0600,1600,0.5871
1.5,area,0.0600,1900,0.5855
1.5,area,0.0600,2100,0.5862
1.5,area,0.0600,2400,0.5860
1.5,area,0.0600,2700,0.5939
1.5,area,0.0600,3000,0.5868
1.5,area,0.0700,100,0.3371
1.5,area,0.0700,400,0.4533
1.5,area,0.0700,700,0.5328
1.5,area,0.0700,1000,0.5378
1.5,area,0.0700,1300,0.5402
1.5,area,0.0700,1600,0.5399
1.5,area,0.0700,1900,0.5369
1.5,area,0.0700,2100,0.5352
1.5,area,0.0700,2400,0.5371
1.5,area,0.0700,2700,0.5353
1.5,area,0.0700,3000,0.5344
1.5,area,0.0800,100,0.3056
1.5,area,0.0800,400,0.4718
1.5,area,0.0800,700,0.5017
1.5,area,0.0800,1000,0.5050
1.5,area,0.0800,1300,0.5057
1.5,area,0.0800,1600,0.5045
1.5,area,0.0800,1900,0.5045
1.5,area,0.0800,2100,0.5097
1.5,area,0.0800,2400,0.5049
1.5,area,0.0800,2700,0.5068
1.5,area,0.0800,3000,0.5112
1.5,area,0.0900,100,0.2799
1.5,area,0.0900,400,0.4529
1.5,area,0.0900,700,0.4861
1.5,area,0.0900,1000,0.4852
1.5,area,0.0900,1300,0.4847
1.5,area,0.0900,1600,0.4954
1.5,area,0.0900,1900,0.4845
1.5,area,0.0900,2100,0.4843
1.5,area,0.0900,2400,0.4852
1.5,area,0.0900,2700,0.4928
1.5,area,0.0900,3000,0.4839
1.5,area,0.1000,100,0.1798
1.5,area,0.1000,400,0.4031
1.5,area,0.1000,700,0.4739
1.5,area,0.1000,1000,0.4600
1.5,area,0.1000,1300,0.4658
1.5,area,0.1000,1600,0.4846
1.5,area,0.1000,1900,0.4598
1.5,area,0.1000,2100,0.4701
1.5,area,0.1000,2400,0.4703
1.5,area,0.1000,2700,0.4727
1.5,area,0.1000,3000,0.4474
1.5,edge,0.0000,100,0.9014
1.5,edge,0.0000,400,0.9296
1.5,edge,0.0000,700,0.9412
1.5,edge,0.0000,1000,0.9380
1.5,edge,0.0000,1300,0.9407
1.5,edge,0.0000,1600,0.9409
1.5,edge,0.0000,1900,0.9406
1.5,edge,0.0000,2100,0.9398
1.5,edge,0.0000,2400,0.9397
1.5,edge,0.0000,2700,0.9390
1.5,edge,0.0000,3000,0.9407
1.5,edge,0.0004,100,0.8901
1.5,edge,0.0004,400,0.9343
1.5,edge,0.0004,700,0.9385
1.5,edge,0.0004,1000,0.9415
1.5,edge,0.0004,1300,0.9403
1.5,edge,0.0004,1600,0.9437
1.5,edge,0.0004,1900,0.9422
1.5,edge,0.0004,2100,0.9417
1.5,edge,0.0004,2400,0.9438
1.5,edge,0.0004,2700,0.9423
1.5,edge,0.0004,3000,0.9429
1.5,edge,0.0008,100,0.8891
1.5,edge,0.0008,400,0.9233
1.5,edge,0.0008,700,0.9384
1.5,edge,0.0008,1000,0.9349
1.5,edge,0.0008,1300,0.9378
1.5,edge,0.0008,1600,0.9324
1.5,edge,0.0008,1900,0.9386
1.5,edge,0.0008,2100,0.9373
1.5,edge,0.0008,2400,0.9374
1.5,edge,0.0008,2700,0.9376
1.5,edge,0.0008,3000,0.9381
1.5,edge,0.0012,100,0.8702
1.5,edge,0.0012,400,0.9129
1.5,edge,0.0012,700,0.9217
1.5,edge,0.0012,1000,0.9227
1.5,edge,0.0012,1300,0.9262
1.5,edge,0.0012,1600,0.9269
1.5,edge,0.0012,1900,0.9314
1.5,edge,0.0012,2100,0.9265
1.5,edge,0.0012,2400,0.9292
1.5,edge,0.0012,2700,0.9284
1.5,edge,0.0012,3000,0.9288
1.5,edge,0.0016,100,0.8580
1.5,edge,0.0016,400,0.8977
1.5,edge,0.0016,700,0.9060
1.5,edge,0.0016,1000,0.9077
1.5,edge,0.0016,1300,0.9092
1.5,edge,0.0016,1600,0.9104
1.5,edge,0.0016,1900,0.9152
1.5,edge,0.0016,2100,0.9143
1.5,edge,0.0016,2400,0.9150
1.5,edge,0.0016,2700,0.9103
1.5,edge,0.0016,3000,0.9126
1.5,edge,0.0020,100,0.8234
1.5,edge,0.0020,400,0.8624
1.5,edge,0.0020,700,0.8762
1.5,edge,0.0020,1000,0.8760
1.5,edge,0.0020,1300,0.8745
1.5,edge,0.0020,1600,0.8835
1.5,edge,0.0020,1900,0.8785
1.5,edge,0.0020,2100,0.8850
1.5,edge,0.0020,2400,0.8802
1.5,edge,0.0020,2700,0.8837
1.5,edge,0.0020,3000,0.8850
1.5,edge,0.0024,100,0.7896
1.5,edge,0.0024,400,0.8419
1.5,edge,0.0024,700,0.8440
1.5,edge,0.0024,1000,0.8446
1.5,edge,0.0024,1300,0.8499
1.5,edge,0.0024,1600,0.8508
1.5,edge,0.0024,1900,0.8516
1.5,edge,0.0024,2100,0.8501
1.5,edge,0.0024,2400,0.8534
1.5,edge,0.0024,2700,0.8521
1.5,edge,0.0024,3000,0.8491
1.5,edge,0.0028,100,0.7180
1.5,edge,0.0028,400,0.7768
1.5,edge,0.0028,700,0.8002
1.5,edge,0.0028,1000,0.7982
1.5,edge,0.0028,1300,0.7942
1.5,edge,0.0028,1600,0.7962
1.5,edge,0.0028,1900,0.8010
1.5,edge,0.0028,2100,0.7981
1.5,edge,0.0028,2400,0.7977
1.5,edge,0.0028,2700,0.7983
1.5,edge,0.0028,3000,0.7986
1.5,edge,0.0032,100,0.6778
1.5,edge,0.0032,400,0.7250
1.5,edge,0.0032,700,0.7401
1.5,edge,0.0032,1000,0.7465
1.5,edge,0.0032,1300,0.7407
1.5,edge,0.0032,1600,0.7440
1.5,edge,0.0032,1900,0.7452
1.5,edge,0.0032,2100,0.7441
1.5,edge,0.0032,2400,0.7451
1.5,edge,0.0032,2700,0.7449
1.5,edge,0.0032,3000,0.7453
1.5,edge,0.0036,100,0.6345
1.5,edge,0.0036,400,0.6736
1.5,edge,0.0036,700,0.6867
1.5,edge,0.0036,1000,0.6991
1.5,edge,0.0036,1300,0.6909
1.5,edge,0.0036,1600,0.6949
1.5,edge,0.0036,1900,0.6936
1.5,edge,0.0036,2100,0.6916
1.5,edge,0.0036,2400,0.6928
1.5,edge,0.0036,2700,0.6957
1.5,edge,0.0036,3000,0.6883
1.5,edge,0.0040,100,0.5790
1.5,edge,0.0040,400,0.6473
1.5,edge,0.0040,700,0.6666
1.5,edge,0.0040,1000,0.6637
1.5,edge,0.0040,1300,0.6669
1.5,edge,0.0040,1600,0.6660
1.5,edge,0.0040,1900,0.6702
1.5,edge,0.0040,2100,0.6672
1.5,edge,0.0040,2400,0.6684
1.5,edge,0.0040,2700,0.6668
1.5,edge,0.0040,3000,0.6663
1.5,pixel,0.0000,100,0.9005
1.5,pixel,0.0000,400,0.9413
1.5,pixel,0.0000,700,0.9440
1.5,pixel,0.0000,1000,0.9457
1.5,pixel,0.0000,1300,0.9470
1.5,pixel,0.0000,1600,0.9456
1.5,pixel,0.0000,1900,0.9454
1.5,pixel,0.0000,2100,0.9473
1.5,pixel,0.0000,2400,0.9475
1.5,pixel,0.0000,2700,0.9480
1.5,pixel,0.0000,3000,0.9477
1.5,pixel,0.0100,100,0.8606
1.5,pixel,0.0100,400,0.9029
1.5,pixel,0.0100,700,0.9084
1.5,pixel,0.0100,1000,0.9134
1.5,pixel,0.0100,1300,0.9147
1.5,pixel,0.0100,1600,0.9140
