Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.000000,100,24.496,0.027,73.677,4.702405442176875
1.5,pixel,0.000000,400,24.437,83.679,157.493,4.654623809523806
1.5,pixel,0.000000,700,24.423,167.496,241.354,4.661117346938774
1.5,pixel,0.000000,1000,24.392,251.356,325.326,4.676192857142854
1.5,pixel,0.000000,1300,24.385,335.328,409.319,4.656715593220343
1.5,pixel,0.000000,1600,24.343,419.321,493.448,4.6503172297297315
1.5,pixel,0.000000,1900,24.360,503.450,577.503,4.667841016949152
1.5,pixel,0.000000,2100,24.346,587.505,661.637,4.71949254237288
1.5,pixel,0.000000,2400,24.325,671.639,745.818,4.7141908783783775
1.5,pixel,0.000000,2700,24.363,755.820,829.885,4.694850169491524
1.5,pixel,0.000000,3000,24.302,839.887,914.107,4.730955593220337
1.5,pixel,0.010000,100,24.766,924.111,996.944,4.157931958762886
1.5,pixel,0.010000,400,24.764,1006.946,1079.774,4.194433103448275
1.5,pixel,0.010000,700,24.742,1089.776,1162.676,4.187936769759449
1.5,pixel,0.010000,1000,24.723,1172.678,1245.638,4.251907560137458
1.5,pixel,0.010000,1300,24.687,1255.641,1328.693,4.185940893470786
1.5,pixel,0.010000,1600,24.662,1338.695,1411.831,4.19810787671233
1.5,pixel,0.010000,1900,24.668,1421.834,1494.956,4.2636921232876706
1.5,pixel,0.010000,2100,24.685,1504.958,1578.016,4.214450171821307
1.5,pixel,0.010000,2400,24.640,1588.018,1661.223,4.277149657534249
1.5,pixel,0.010000,2700,24.663,1671.225,1744.356,4.220257044673539
1.5,pixel,0.010000,3000,24.660,1754.358,1827.500,4.299525
1.5,pixel,0.020000,100,24.826,1837.503,1910.165,4.109943103448274
1.5,pixel,0.020000,400,24.827,1920.167,1992.817,4.088826643598615
1.5,pixel,0.020000,700,24.814,2002.819,2075.503,4.120768166089966
1.5,pixel,0.020000,1000,24.794,2085.505,2158.253,4.090108591065292
1.5,pixel,0.020000,1300,24.808,2168.255,2240.955,4.102932758620691
1.5,pixel,0.020000,1600,24.801,2250.957,2323.685,4.1176400000000015
1.5,pixel,0.020000,1900,24.802,2333.687,2406.409,4.146211379310345
1.5,pixel,0.020000,2100,24.787,2416.411,2489.177,4.08207310344828
1.5,pixel,0.020000,2400,24.757,2499.179,2572.045,4.132131958762885
1.5,pixel,0.020000,2700,24.755,2582.047,2654.909,4.205459310344828
1.5,pixel,0.020000,3000,24.773,2664.911,2737.721,4.117510996563575
1.5,pixel,0.030000,100,24.871,2747.724,2820.242,4.0341854671280295
1.5,pixel,0.030000,400,24.865,2830.244,2902.773,4.039338620689655
1.5,pixel,0.030000,700,24.853,2912.775,2985.352,4.069311072664359
1.5,pixel,0.030000,1000,24.829,2995.355,3068.006,4.057692068965516
1.5,pixel,0.030000,1300,24.815,3078.008,3150.682,4.070672413793106
1.5,pixel,0.030000,1600,24.834,3160.684,3233.313,4.061763793103449
1.5,pixel,0.030000,1900,24.828,3243.316,3315.958,4.062508275862073
1.5,pixel,0.030000,2100,24.821,3325.960,3398.639,4.063580344827585
1.5,pixel,0.030000,2400,24.831,3408.641,3481.276,4.137181379310345
1.5,pixel,0.030000,2700,24.811,3491.278,3563.976,4.050308965517242
1.5,pixel,0.030000,3000,24.823,3573.978,3646.634,4.085067820069205
1.5,pixel,0.040000,100,24.866,3656.638,3729.179,4.060357931034482
1.5,pixel,0.040000,400,24.865,3739.181,3811.718,4.039698615916956
1.5,pixel,0.040000,700,24.858,3821.720,3894.280,4.044178620689654
1.5,pixel,0.040000,1000,24.853,3904.282,3976.864,4.03150899653979
1.5,pixel,0.040000,1300,24.835,3986.866,4059.497,4.115193448275861
1.5,pixel,0.040000,1600,24.845,4069.500,4142.102,4.058946206896547
1.5,pixel,0.040000,1900,24.834,4152.104,4224.739,4.065646020761245
1.5,pixel,0.040000,2100,24.829,4234.741,4307.386,4.052917931034486
1.5,pixel,0.040000,2400,24.837,4317.388,4390.007,4.091578620689656
1.5,pixel,0.040000,2700,24.831,4400.009,4472.648,4.088703103448275
1.5,pixel,0.040000,3000,24.828,4482.650,4555.297,4.043233217993078
1.5,pixel,0.050000,100,24.867,4565.300,4637.836,4.01896448275862
1.5,pixel,0.050000,400,24.863,4647.839,4720.378,4.036632525951558
1.5,pixel,0.050000,700,24.863,4730.380,4802.924,4.028791379310342
1.5,pixel,0.050000,1000,24.860,4812.926,4885.477,4.051198615916953
1.5,pixel,0.050000,1300,24.866,4895.479,4968.007,4.038354482758622
1.5,pixel,0.050000,1600,24.862,4978.009,5050.557,4.053084429065741
1.5,pixel,0.050000,1900,24.853,5060.560,5133.135,4.048915172413791
1.5,pixel,0.050000,2100,24.854,5143.137,5215.708,4.047936332179932
1.5,pixel,0.050000,2400,24.861,5225.710,5298.265,4.0610275862068965
1.5,pixel,0.050000,2700,24.846,5308.267,5380.863,4.120284775086505
1.5,pixel,0.050000,3000,24.853,5390.865,5463.437,4.030471034482759
1.5,pixel,0.060000,100,24.879,5473.441,5545.937,4.015012802768165
1.5,pixel,0.060000,400,24.874,5555.940,5628.461,4.048736206896553
1.5,pixel,0.060000,700,24.865,5638.464,5711.002,4.026362283737026
1.5,pixel,0.060000,1000,24.862,5721.005,5793.559,4.036640344827583
1.5,pixel,0.060000,1300,24.857,5803.561,5876.131,4.030225259515568
1.5,pixel,0.060000,1600,24.851,5886.133,5958.712,4.042119310344831
1.5,pixel,0.060000,1900,24.855,5968.714,6041.282,4.061903793103449
1.5,pixel,0.060000,2100,24.869,6051.284,6123.806,4.074683044982701
1.5,pixel,0.060000,2400,24.866,6133.808,6206.345,4.064168965517243
1.5,pixel,0.060000,2700,24.857,6216.347,6288.910,4.046861724137931
1.5,pixel,0.060000,3000,24.848,6298.912,6371.498,4.046482758620691
1.5,pixel,0.070000,100,24.887,6381.502,6453.974,4.015540830449828
1.5,pixel,0.070000,400,24.874,6463.976,6536.479,4.019228373702424
1.5,pixel,0.070000,700,24.864,6546.481,6619.027,4.00709965517241
1.5,pixel,0.070000,1000,24.867,6629.030,6701.563,4.038051557093424
1.5,pixel,0.070000,1300,24.878,6711.565,6784.062,4.052503793103449
1.5,pixel,0.070000,1600,24.871,6794.064,6866.584,4.017942758620688
1.5,pixel,0.070000,1900,24.868,6876.586,6949.116,4.020061937716264
1.5,pixel,0.070000,2100,24.869,6959.118,7031.637,4.022742413793102
1.5,pixel,0.070000,2400,24.865,7041.639,7114.177,4.047677162629758
1.5,pixel,0.070000,2700,24.877,7124.180,7196.673,4.064981314878895
1.5,pixel,0.070000,3000,24.866,7206.676,7279.216,4.012231379310341
1.5,pixel,0.080000,100,24.880,7289.219,7361.713,4.022383737024223
1.5,pixel,0.080000,400,24.887,7371.715,7444.195,4.010834948096885
1.5,pixel,0.080000,700,24.887,7454.198,7526.673,4.012194463667818
1.5,pixel,0.080000,1000,24.876,7536.675,7609.179,4.014704152249135
1.5,pixel,0.080000,1300,24.867,7619.181,7691.712,3.998304498269897
1.5,pixel,0.080000,1600,24.877,7701.714,7774.223,4.023353103448278
1.5,pixel,0.080000,1900,24.869,7784.226,7856.756,4.0356159169550185
1.5,pixel,0.080000,2100,24.882,7866.758,7939.238,4.028642560553634
1.5,pixel,0.080000,2400,24.873,7949.241,8021.761,4.024533793103444
1.5,pixel,0.080000,2700,24.876,8031.764,8104.274,4.019189965397922
1.5,pixel,0.080000,3000,24.871,8114.276,8186.799,4.031369550173011
1.5,pixel,0.090000,100,24.885,8196.802,8269.283,4.017936206896552
1.5,pixel,0.090000,400,24.896,8279.285,8351.733,3.9913200692041526
1.5,pixel,0.090000,700,24.878,8361.735,8434.242,4.009014532871971
1.5,pixel,0.090000,1000,24.894,8444.245,8516.709,4.016223875432529
1.5,pixel,0.090000,1300,24.878,8526.711,8599.211,4.044064137931037
1.5,pixel,0.090000,1600,24.880,8609.213,8681.708,4.023156747404842
1.5,pixel,0.090000,1900,24.892,8691.710,8764.167,4.007083044982699
1.5,pixel,0.090000,2100,24.879,8774.169,8846.660,4.048509688581316
1.5,pixel,0.090000,2400,24.880,8856.663,8929.159,4.042104827586209
1.5,pixel,0.090000,2700,24.889,8939.161,9011.639,4.021869204152249
1.5,pixel,0.090000,3000,24.869,9021.642,9094.160,4.061754671280276
1.5,pixel,0.100000,100,24.882,9104.164,9176.662,4.0564789655172415
1.5,pixel,0.100000,400,24.100,9186.664,9261.509,4.04722558922556
1.5,pixel,0.100000,700,24.880,9271.511,9344.016,4.015925517241382
1.5,pixel,0.100000,1000,24.885,9354.018,9426.495,4.051772664359861
1.5,pixel,0.100000,1300,24.884,9436.497,9508.985,4.068044290657442
1.5,pixel,0.100000,1600,24.880,9518.987,9591.481,4.015334827586207
1.5,pixel,0.100000,1900,24.883,9601.483,9673.969,4.027441522491351
1.5,pixel,0.100000,2100,24.890,9683.971,9756.436,4.028105882352944
1.5,pixel,0.100000,2400,24.885,9766.438,9838.918,4.027146020761245
1.5,pixel,0.100000,2700,24.884,9848.921,9921.405,4.041050865051908
1.5,pixel,0.100000,3000,24.883,9931.408,10003.898,4.062618620689655
