Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.000000,100,24.457,0.032,73.922,4.829182711864407
1.5,pixel,0.000000,400,24.494,83.924,157.693,4.652593877551022
1.5,pixel,0.000000,700,24.444,167.696,241.611,4.663943728813559
1.5,pixel,0.000000,1000,24.415,251.614,325.618,4.65799186440678
1.5,pixel,0.000000,1300,24.374,335.620,409.755,4.667485135135134
1.5,pixel,0.000000,1600,24.447,419.757,493.659,4.673738095238094
1.5,pixel,0.000000,1900,24.415,503.661,577.666,4.661862711864414
1.5,pixel,0.000000,2100,24.380,587.668,661.780,4.668671186440679
1.5,pixel,0.000000,2400,24.397,671.782,745.844,4.66152779661017
1.5,pixel,0.000000,2700,24.400,755.846,829.894,4.673325675675678
1.5,pixel,0.000000,3000,24.417,839.896,913.899,4.660946258503401
1.5,pixel,0.010000,100,24.714,923.903,997.013,4.62475308219178
1.5,pixel,0.010000,400,24.687,1007.015,1080.201,4.600765410958907
1.5,pixel,0.010000,700,24.698,1090.203,1163.364,4.6095594501718224
1.5,pixel,0.010000,1000,24.659,1173.368,1246.645,4.617097945205479
1.5,pixel,0.010000,1300,24.678,1256.648,1329.870,4.612936643835615
1.5,pixel,0.010000,1600,24.696,1339.872,1413.039,4.631067808219181
1.5,pixel,0.010000,1900,24.688,1423.041,1496.221,4.626488356164383
1.5,pixel,0.010000,2100,24.663,1506.223,1579.488,4.617193835616439
1.5,pixel,0.010000,2400,24.659,1589.491,1662.760,4.60521883561644
1.5,pixel,0.010000,2700,24.706,1672.762,1745.900,4.6215664383561625
1.5,pixel,0.010000,3000,24.673,1755.902,1829.136,4.619455479452055
1.5,pixel,0.020000,100,24.714,1839.139,1912.253,4.611679037800691
1.5,pixel,0.020000,400,24.699,1922.255,1995.415,4.613434931506848
1.5,pixel,0.020000,700,24.729,2005.417,2078.482,4.608124742268041
1.5,pixel,0.020000,1000,24.723,2088.484,2161.562,4.61346529209622
1.5,pixel,0.020000,1300,24.720,2171.565,2244.650,4.621034364261167
1.5,pixel,0.020000,1600,24.726,2254.653,2327.722,4.604882817869413
1.5,pixel,0.020000,1900,24.699,2337.724,2410.884,4.62377260273973
1.5,pixel,0.020000,2100,24.745,2420.886,2493.900,4.622058762886599
1.5,pixel,0.020000,2400,24.711,2503.902,2577.015,4.6021674657534275
1.5,pixel,0.020000,2700,24.708,2587.017,2660.140,4.603621305841928
1.5,pixel,0.020000,3000,24.721,2670.142,2743.222,4.603142955326462
1.5,pixel,0.030000,100,24.728,2753.225,2826.292,4.602438013698629
1.5,pixel,0.030000,400,24.734,2836.294,2909.340,4.590055326460486
1.5,pixel,0.030000,700,24.734,2919.342,2992.395,4.608891438356162
1.5,pixel,0.030000,1000,24.736,3002.397,3075.448,4.622776288659791
1.5,pixel,0.030000,1300,24.735,3085.450,3158.499,4.59120240549828
1.5,pixel,0.030000,1600,24.720,3168.501,3241.599,4.605961643835616
