Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.000000,3000,24.439,0.027,18.460,4.904874324324325
1.5,area,0.000000,3000,23.999,28.462,47.234,5.138912
1.5,edge,0.000000,3000,23.525,57.236,76.407,5.117040789473684
1.8,pixel,0.000000,3000,24.404,86.427,104.879,5.94490945945946
1.8,area,0.000000,3000,24.260,114.881,133.449,6.109295945945947
1.8,edge,0.000000,3000,23.892,143.450,162.303,6.291274666666667
2.1,pixel,0.000000,3000,24.447,172.319,190.744,6.53559589041096
2.1,area,0.000000,3000,24.458,200.746,219.147,6.8641918918918945
2.1,edge,0.000000,3000,24.032,229.148,247.863,7.0615337837837835
2.4,pixel,0.000000,3000,24.426,257.877,276.309,7.100152702702704
2.4,area,0.000000,3000,24.400,286.311,304.745,7.709616438356164
2.4,edge,0.000000,3000,24.006,314.746,333.496,7.863192000000001
